,Age,AgeMonths,HHIncomeMid,Poverty,HomeRooms,Weight,Length,HeadCirc,Height,BMI,Pulse,BPSysAve,BPDiaAve,BPSys1,BPDia1,BPSys2,BPDia2,BPSys3,BPDia3,Testosterone,DirectChol,TotChol,UrineVol1,UrineFlow1,UrineVol2,UrineFlow2,DiabetesAge,DaysPhysHlthBad,DaysMentHlthBad,nPregnancies,nBabies,Age1stBaby,SleepHrsNight,PhysActiveDays,TVHrsDayChild,CompHrsDayChild,AlcoholDay,AlcoholYear,SmokeAge,AgeFirstMarij,AgeRegMarij,SexAge,SexNumPartnLife,SexNumPartYear
mean,36.7421,420.12394195888754,57206.17042115573,2.8018438645676085,6.2489175309636495,70.98179802459181,85.01602209944751,41.180681818181824,161.8778376697419,26.660135976749014,73.55973373817588,118.15495263711847,67.48006081160098,119.09020274371737,68.27825664683743,118.47575721297737,67.66455165808692,117.92922893006575,67.29874476987447,197.89800048473097,1.3648654708520178,4.879219966957753,118.51614334849661,0.9792946290341787,119.67591339648173,1.1493719512195122,48.42289348171701,3.3348380244291027,4.12649323068755,3.0268817204301075,2.456953642384106,22.64968152866242,6.927530625402966,3.7435127600257343,1.9387442572741194,2.1975497702909648,2.914122914122914,75.10165484633569,17.826623376623377,17.02282947077136,17.691068814055637,17.42870036101083,15.085065502183406,1.3423295454545454
50%,36.0,418.0,50000.0,2.7,6.0,72.7,87.0,41.45,166.0,25.98,72.0,116.0,69.0,116.0,70.0,116.0,68.0,116.0,68.0,43.82,1.29,4.78,94.0,0.699,95.0,0.76,50.0,0.0,0.0,3.0,2.0,22.0,7.0,3.0,2.0,1.0,2.0,24.0,17.0,16.0,17.0,17.0,5.0,1.0
min,0.0,0.0,2500.0,0.0,1.0,2.8,47.1,34.2,83.6,12.88,40.0,76.0,0.0,72.0,0.0,76.0,0.0,76.0,0.0,0.25,0.39,1.53,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,14.0,2.0,1.0,0.0,0.0,1.0,0.0,6.0,1.0,5.0,9.0,0.0,0.0
max,80.0,959.0,100000.0,5.0,13.0,230.7,112.2,45.4,200.4,81.25,136.0,226.0,116.0,232.0,118.0,226.0,118.0,226.0,116.0,1795.6,4.03,13.65,510.0,17.167,409.0,13.692,80.0,30.0,30.0,32.0,12.0,39.0,12.0,7.0,6.0,6.0,82.0,364.0,72.0,48.0,52.0,50.0,2000.0,69.0
mode,80.0,2.0,100000.0,5.0,6.0,78.1,86.1,40.2,173.2,23.2,70.0,114.0,69.0,114.0,74.0,114.0,72.0,114.0,68.0,9.9,1.24,4.22,38.0,1.0,52.0,0.0,55.0,0.0,0.0,2.0,2.0,20.0,7.0,3.0,2.0,0.0,1.0,0.0,18.0,16.0,16.0,16.0,1.0,1.0
