,ID,Age,AgeMonths,HHIncomeMid,Poverty,HomeRooms,Weight,Length,HeadCirc,Height,BMI,Pulse,BPSysAve,BPDiaAve,BPSys1,BPDia1,BPSys2,BPDia2,BPSys3,BPDia3,Testosterone,DirectChol,TotChol,UrineVol1,UrineFlow1,UrineVol2,UrineFlow2,DiabetesAge,DaysPhysHlthBad,DaysMentHlthBad,nPregnancies,nBabies,Age1stBaby,SleepHrsNight,PhysActiveDays,TVHrsDayChild,CompHrsDayChild,AlcoholDay,AlcoholYear,SmokeAge,AgeFirstMarij,AgeRegMarij,SexAge,SexNumPartnLife,SexNumPartYear
count,10000.0,10000.0,4962.0,9189.0,9274.0,9931.0,9922.0,543.0,88.0,9647.0,9634.0,8563.0,8551.0,8551.0,8237.0,8237.0,8353.0,8353.0,8365.0,8365.0,4126.0,8474.0,8474.0,9013.0,8397.0,1478.0,1476.0,629.0,7532.0,7534.0,2604.0,2416.0,1884.0,7755.0,4663.0,653.0,653.0,4914.0,5922.0,3080.0,2891.0,1366.0,5540.0,5725.0,4928.0
mean,61944.6438,36.7421,420.12394195888754,57206.17042115573,2.8018438645676085,6.2489175309636495,70.98179802459181,85.01602209944751,41.180681818181824,161.8778376697419,26.660135976749014,73.55973373817588,118.15495263711847,67.48006081160098,119.09020274371737,68.27825664683743,118.47575721297737,67.66455165808692,117.92922893006575,67.29874476987447,197.89800048473097,1.3648654708520178,4.879219966957753,118.51614334849661,0.9792946290341787,119.67591339648173,1.1493719512195122,48.42289348171701,3.3348380244291027,4.12649323068755,3.0268817204301075,2.456953642384106,22.64968152866242,6.927530625402966,3.7435127600257343,1.9387442572741194,2.1975497702909648,2.914122914122914,75.10165484633569,17.826623376623377,17.02282947077136,17.691068814055637,17.42870036101083,15.085065502183406,1.3423295454545454
std,5871.167160463427,22.397565775888875,259.04309076590476,33020.27658372614,1.6779090063703,2.2775376684401802,29.12535744325351,13.7050257843095,2.3114834742259447,20.186566588443647,7.376579100629852,12.155422079756772,17.248170299625727,14.354803790228226,17.496360474107185,13.780781412837342,17.49132701352076,14.419781047508629,17.17718624648858,14.958392943988748,226.50448476512804,0.3992580597869299,1.0755833487853472,90.33648133679564,0.9495143156240501,90.1600538849186,1.0729484113520567,15.68050385569839,7.400699584210329,7.832970681854682,1.7953410358764055,1.315227456543679,4.77250877916647,1.346729251366628,1.836357705538914,1.4344307833511543,2.516667164936237,3.1826723985562237,103.03373795770976,5.326660164096537,3.8950102608980908,4.8061034943279735,3.7165511698900544,57.84643393011572,2.782687717839509
min,51624.0,0.0,0.0,2500.0,0.0,1.0,2.8,47.1,34.2,83.6,12.88,40.0,76.0,0.0,72.0,0.0,76.0,0.0,76.0,0.0,0.25,0.39,1.53,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,14.0,2.0,1.0,0.0,0.0,1.0,0.0,6.0,1.0,5.0,9.0,0.0,0.0
25%,56904.5,17.0,199.0,30000.0,1.24,5.0,56.1,75.7,39.575,156.8,21.58,64.0,106.0,61.0,106.0,62.0,106.0,60.0,106.0,60.0,17.7,1.09,4.11,50.0,0.403,52.0,0.475,40.0,0.0,0.0,2.0,2.0,19.0,6.0,2.0,1.0,0.0,1.0,3.0,15.0,15.0,15.0,15.0,2.0,1.0
50%,62159.5,36.0,418.0,50000.0,2.7,6.0,72.7,87.0,41.45,166.0,25.98,72.0,116.0,69.0,116.0,70.0,116.0,68.0,116.0,68.0,43.82,1.29,4.78,94.0,0.699,95.0,0.76,50.0,0.0,0.0,3.0,2.0,22.0,7.0,3.0,2.0,1.0,2.0,24.0,17.0,16.0,17.0,17.0,5.0,1.0
75%,67039.0,54.0,624.0,87500.0,4.71,8.0,88.9,96.1,42.925,174.5,30.89,82.0,127.0,76.0,128.0,76.0,128.0,76.0,126.0,76.0,362.40999999999997,1.58,5.53,164.0,1.221,171.75,1.513,58.0,3.0,4.0,4.0,3.0,26.0,8.0,5.0,3.0,6.0,3.0,104.0,19.0,19.0,19.0,19.0,12.0,1.0
max,71915.0,80.0,959.0,100000.0,5.0,13.0,230.7,112.2,45.4,200.4,81.25,136.0,226.0,116.0,232.0,118.0,226.0,118.0,226.0,116.0,1795.6,4.03,13.65,510.0,17.167,409.0,13.692,80.0,30.0,30.0,32.0,12.0,39.0,12.0,7.0,6.0,6.0,82.0,364.0,72.0,48.0,52.0,50.0,2000.0,69.0
