,Age,AgeMonths,HHIncomeMid,Poverty,HomeRooms,Weight,Length,HeadCirc,Height,BMI,Pulse,BPSysAve,BPDiaAve,BPSys1,BPDia1,BPSys2,BPDia2,BPSys3,BPDia3,Testosterone,DirectChol,TotChol,UrineVol1,UrineFlow1,UrineVol2,UrineFlow2,DiabetesAge,DaysPhysHlthBad,DaysMentHlthBad,nPregnancies,nBabies,Age1stBaby,SleepHrsNight,PhysActiveDays,TVHrsDayChild,CompHrsDayChild,AlcoholDay,AlcoholYear,SmokeAge,AgeFirstMarij,AgeRegMarij,SexAge,SexNumPartnLife,SexNumPartYear
std,22.397565775888875,259.04309076590476,33020.27658372614,1.6779090063703,2.2775376684401802,29.12535744325351,13.7050257843095,2.3114834742259447,20.186566588443647,7.376579100629852,12.155422079756772,17.248170299625727,14.354803790228226,17.496360474107185,13.780781412837342,17.49132701352076,14.419781047508629,17.17718624648858,14.958392943988748,226.50448476512804,0.3992580597869299,1.0755833487853472,90.33648133679564,0.9495143156240501,90.1600538849186,1.0729484113520567,15.68050385569839,7.400699584210329,7.832970681854682,1.7953410358764055,1.315227456543679,4.77250877916647,1.346729251366628,1.836357705538914,1.4344307833511543,2.516667164936237,3.1826723985562237,103.03373795770976,5.326660164096537,3.8950102608980908,4.8061034943279735,3.7165511698900544,57.84643393011572,2.782687717839509
25%,17.0,199.0,30000.0,1.24,5.0,56.1,75.7,39.575,156.8,21.58,64.0,106.0,61.0,106.0,62.0,106.0,60.0,106.0,60.0,17.7,1.09,4.11,50.0,0.403,52.0,0.475,40.0,0.0,0.0,2.0,2.0,19.0,6.0,2.0,1.0,0.0,1.0,3.0,15.0,15.0,15.0,15.0,2.0,1.0
50%,36.0,418.0,50000.0,2.7,6.0,72.7,87.0,41.45,166.0,25.98,72.0,116.0,69.0,116.0,70.0,116.0,68.0,116.0,68.0,43.82,1.29,4.78,94.0,0.699,95.0,0.76,50.0,0.0,0.0,3.0,2.0,22.0,7.0,3.0,2.0,1.0,2.0,24.0,17.0,16.0,17.0,17.0,5.0,1.0
75%,54.0,624.0,87500.0,4.71,8.0,88.9,96.1,42.925,174.5,30.89,82.0,127.0,76.0,128.0,76.0,128.0,76.0,126.0,76.0,362.40999999999997,1.58,5.53,164.0,1.221,171.75,1.513,58.0,3.0,4.0,4.0,3.0,26.0,8.0,5.0,3.0,6.0,3.0,104.0,19.0,19.0,19.0,19.0,12.0,1.0
IQR,37.0,425.0,57500.0,3.4699999999999998,3.0,32.800000000000004,20.39999999999999,3.3499999999999943,17.69999999999999,9.310000000000002,18.0,21.0,15.0,22.0,14.0,22.0,16.0,20.0,16.0,344.71,0.49,1.42,114.0,0.8180000000000001,119.75,1.0379999999999998,18.0,3.0,4.0,2.0,1.0,7.0,2.0,3.0,2.0,6.0,2.0,101.0,4.0,4.0,4.0,4.0,10.0,0.0
